Name,Discription,Cost,Image Name,Product Type
24K,"Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users!",16,99,Flower
AK-47,"Don't let its intense name fool you: AK-47 will leave you relaxed and mellow. This sativa-dominant hybrid delivers a steady and long-lasting cerebral buzz that keeps you mentally alert and engaged in creative or social activities. AK-47 mixes Colombian, Mexican, Thai, and Afghani varieties, bringing together a complex blend of flavors and effects. While AK-47�s scent is sour and earthy, its sweet floral notes can only be fully realized in the taste.",35,100,Flower
Alien Cookies,This strain is a balanced hybrid created through a cross of Alien Dawg & GSC.,16,101,Flower
Alien OG,"Alien OG has the typical lemon-pine ""OG"" smell and flavor, and an intense high that combines heavy indica body effects and psychedelic cerebral buzz. Beginners, be sure to take it slow with this heavy-hitter.",13,102,Flower
Blackberry Cream,"Blackberry Cream from Exotic Genetix combines the sweet berry terpenes of Blackberry Kush with the smooth creamy notes of Cookies and Cream. This 70% indica hybrid produces THC levels up to 25%, above average yields, and is an excellent choice for hash making.",225,103,Flower
Blue Dream ,"Blue Dream, a sativa-dominant hybrid originating in California, has achieved legendary status among West Coast strains. Crossing a Blueberry indica with the sativa Haze, Blue Dream balances full-body relaxation with gentle cerebral invigoration. Novice and veteran consumers alike enjoy the level effects of Blue Dream, which ease you gently into a calm euphoria. Some Blue Dream phenotypes express a more indica-like look and feel, but the sativa-leaning variety remains most prevalent.",9.95,104,Flower
Blue Dream Gold,"Blue Dream, a sativa-dominant hybrid originating in California, has achieved legendary status among West Coast strains. Crossing a Blueberry indica with the sativa Haze, Blue Dream balances full-body relaxation with gentle cerebral invigoration. Novice and veteran consumers alike enjoy the level effects of Blue Dream, which ease you gently into a calm euphoria. Some Blue Dream phenotypes express a more indica-like look and feel, but the sativa-leaning variety remains most prevalent.",16,105,Flower
Cadillac Purple,"One of the first things that patients notice about this plant is the sweet grape aroma and flavor. A truly purple plant, this medicinal herb also has high amounts of anthocyanin, a special neuroprotective flavonoid found in other healthful plants like pomegranate and blueberry. While the potency of this strain tends to be lower than other indica plants, there is no denying the fully sedated effects of Cadillac Purple. As a classic �creeper� strain, this flower builds momentum for long-lasting body relaxation.",55,106,Flower
Cheese Cake,"Gorgeous colors. Stunning crystals. Complex flavors and aromas. These are among the distinctive qualities of Shango Flower products. They are the direct result of Shango�s obsessive approach to flower cultivation, processing and packaging.",16,107,Flower
Chem Dawg 91,"Much like many other members of the Chemdawg line, the origins of Chemdawg 91 are shrouded in mystery. Rumor has it that the lineage was first cultivated by the illustrious East Coast breeder who also goes by the name of Chemdawg, and some speculate it descends from a Thai landrace strain. Chemdawg 91 is thought to be an offshoot of the original Chemdawg strain, and the numerical addition of �91� is believed to reference the year the strain first came into existence.",9.95,108,Flower
Cherry Diesel,"Cherry Diesel by MTG Seeds combines Cherry OG and Turbo Diesel into one sweet-smelling, uplifting hybrid strain.",225,109,Flower
Cookies N' Cream,"Starfighter and an undisclosed Girl Scout Cookies phenotype. This well-balanced hybrid offers a sweet taste with pine undertones. She delivers long-lasting happy, relaxing effects, but high doses can induce an early night�s sleep.",55,110,Flower
Deadhead OG,"A modern West Coast classic, Deadhead OG was created by master breeder Skunk VA of Cali Connection Seeds by crossing two already legendary strains, Chemdawg 91 and the SFV OG Kush. Known as a very hearty and pungent strain, most phenotypes present an earthy, piney smell and taste, though some can lean more to the diesel aromas of the SFV. As a cross of two very potent strains, Deadhead OG regularly reaches THC levels over 20%. Most users describe the high as cerebral and stimulating but with a relaxed body feel.",16,111,Flower
Dog Walker,"Dogwalker OG is a balanced hybrid bred by combining Albert Walker OG and Chemdawg 91. With a complex profile of woody and skunky aromas, Dogwalker OG delivers a strong cerebral calm that radiates throughout the body over time. The sativa side of Dogwalker OG promotes focus, while its indica counterpart induces deep relaxation that easily converts to sleep in high doses. This THC-rich hybrid can be used for a variety of issues, particularly pain, mood disorders, and appetite loss.",35,112,Flower
Double Stuffed,"A cross between Platinum White and Cookies and Cream, Double Stuffed boasts a delicious chocolatey aroma. This indica-dominant hybrid is the perfect strain to end your day on.",225,113,Flower
GG #4,"This potent new strain took top hybrid honors in two cannabis cups during 2014. The unique and pungent aroma alludes to this strain's complex genetics. The familiar notes of Chemdawg, Sour Diesel, and Chocolate Thai represent the strong terpene profile of this strain. High THC content - not for the faint of heart.",16,114,Flower
Glue on Fire,Gorilla Glue #4 X Face On Fire this well balanced cross has a pungent sour gasoline smell & flavor with undertones of rubber. Her full body effects stimulate the mind while relaxing the bod,55,115,Flower
Golden Stormz,This strain is calming and relaxing. Great for relieving end of the day stress. Long lasting pain relief.,45,116,Flower
Jack Herer,"Jack Herer is a sativa-dominant cannabis strain that has gained as much renown as its namesake, the marijuana activist and author of The Emperor Wears No Clothes. Combining a Haze hybrid with a Northern Lights #5 and Shiva Skunk cross, Sensi Seeds created Jack Herer hoping to capture both the cerebral elevation associated with sativas and the heavy resin production of indicas. Its rich genetic background gives rise to several different variations of Jack Herer, each phenotype bearing its own unique features and effects. However, consumers typically describe this 55% sativa hybrid as blissful, clear-headed, and creative.",225,117,Flower
Jilly Bean,"Jillybean is described as being an upbeat and happy hybrid, with flavors of tangy orange and mango. This strain is a top choice for creative minds and social butterflies looking for unencumbered euphoria during daytime hours. Bred by crossing Orange Velvet and Space Queen, Jillybean often expresses herself in deep hues of maroon on the leaves.",16,118,Flower
Killer Tahoe OG,"Killer Tahoe OG is a cross between Tahoe OG Kush and Natural Born Killers. Tahoe OG is strong and fast-acting, you may not want to use this strain when you're planning to leave the house. Great for those suffering from insomnia, pain, or lack of appetite, Tahoe OG has made a name for itself among other indicas.",16,119,Flower
Kush Master,"Master Kush is a popular indica cross created out of two landrace strains from different parts of the Hindu Kush region. Master Kush is bred by the Dutch White Label Seed Company, located in Amsterdam. During maturation the plant produces a subtle earthy, citrus smell with a hint of incense, which is often described as a vintage flavor. The taste of Master Kush is reminiscent of the famous hard-rubbed charas hash. This strain holds a superb balance of full-body relaxation without the mind-numbing effect that many indica strains produce. Instead, Master Kush offers a sharpened sensory awareness that can bring out the best of any activity.",10,120,Flower
Lil Sebastian,A balanced experience of body and mind relaxation leaving a patient the capability to enjoy an afternoon walk or rest peaceful on the couch and enjoy their evening.,13,121,Flower
Lime Light,"Surfs up, prepare for waves of citrus hitting you in the face. Make sure the lifeguards can see you at all times. You might need them!",10,122,Flower
Mr. OG,"This is an old and unique phenotype of OG Kush with that familiar, old-school gasoline aroma and flavor. It�s ideal for both pain relief and as a bedtime strain.",55,123,Flower
MTF,"Sometimes likened to spicy hot chocolate, MTF�s aromas are derived from an ideal ratio of terpinolene, limonene, humulene, b-caryophyllene, and b-pinene. The strain is known for its gradual onset and strong body effect. Effects Happiness Euphoria Stress Relief Slow Onset Sustained Energy",55,124,Flower
Northern Lights #6,"Lost for decades, she's just been hiding. Look up at the stars and watch them stare back. Prepare for interplanetary travel and an out of 'body' experience!",10,125,Flower
Old School Lemons,Great for daytime use. This sativa strain will relieve stress and anxiety also accompanying uplifting euphoric effect. Great lemon flavor.,45,126,Flower
Orange Cookies,"A flavor-packed strain, Orange Cookies expresses itself with a strong aroma of sweet citrus that closely resembles a fresh tangerine. The flavors of Orange Cookies gives way to deep calming body effects that mingle with a euphoric cerebral buzz to leave you happy and relaxed.",55,127,Flower
Pineapple Express,"This sativa dominant hybrid combines the potent and flavorful forces of parent strains Trainwreck and Hawaiian. The smell is likened to fresh apple and mango, with a taste of pineapple, pine, and cedar. This hard-hitting strain provides a long-lasting energetic buzz perfect for productive afternoons and creative escapes.",9.95,128,Flower
Platinum OG,"Platinum OG is just as precious as the metal it�s named after. With a THC content regularly topping 20%, this indica-dominant hybrid asserts itself as one of the �heaviest� strains around. Platinum OG is purported to stem from three strains: Master Kush, OG Kush, and a third unknown parent. Flowers are lime green and plump, with prominent orange hairs and a platinum coating thanks to the abundance of THC crystals. A brief, heady onset settles into a powerful physical sedation suitable for nighttime use and pain, stress, or anxiety relief, making this precious strain a robust healer.",16,129,Flower
Pre 98 Bubba Kush,"Born in the days of grunge, The Spice Girls, and Y2K, Pre-98 Bubba Kush is a blast from the past. This strain provides consumers with a consistent indica-heavy body sensation, making it a favorite for more than a decade. Pre-98 Bubba Kush is great for those looking for pain relief without feeling overwhelmed or incapacitated. Flowering at around 10 weeks, P-98 features a pungent, musky scent and coffee-like taste. This oldie but goodie might be just the thing when you�re looking to relax and unwind at the end of a long day.",45,130,Flower
SFV OG,SFV OG is a sativa-dominant hybrid coming from the OG Kush family and originates from California's San Fernando Valley. The current Kynd Cannabis Company harvests tests report high levels of CBD which makes this a great strain for users seeking strong pain relief without getting couchlocked. The high levels of Myrcene and Limonene in this strain give SFV OG an earthy aroma an flavor. This strain is good for treating pain and depression and leaves users feeling relaxed and euphoric. Test results may vary.,55,131,Flower
SLV OG,This indica-dominant hybrid is perfect for stress/anxiety relief & relaxation.,55,132,Flower
Skunk #1,"Patients can enjoy the classic skunk aromas and subtle sweet earthiness derived from a terpene profile high in linalool, myrcene, humulene, and caryophyllene. Skunk #1 is a beloved strain for beginners and long-time enthusiasts, offering a high-energy effect with reduced stress and increased appetite. Effects Happiness Creativity Stress Relief Energetic Onset",55,133,Flower
Stoney Creek,Underdog OG x Turbo Diesel. An evenly balanced hybrid with a potent head & body high combo.,8,134,Flower
Super Lemon Haze,"As the name implies, this is a tart, sweet sativa-dominant hybrid with effects to match. With a sweetly citrus aroma and an enjoyably lively and energetic effect, this is the strain for feeling happy, focused and uplifted. Use it to combat stress and depression, but watch out for dry mouth!",55,135,Flower
Tangerine,"Tangerine is a sativa-dominant hybrid, a 4th generation daughter of Ch9 Aroma. The fruity tangerine aroma is accompanied with notes of mango and pineapple. Indoor or outdoor grows can expect flowers between 7 and 8 weeks.",13,136,Flower
Ultimate Indica,This sedative pure indica hybrid strain hails from Flora Vega. Consumption of this strain will help combat stress and lack of appetite.,13,137,Flower
VCM #2,"A cross between Grateful Breath and Glue on Fire, this hybrid strain boasts a glue/chem taste and effect.",55,138,Flower
West Side OG,"The ORIGINAL OG Kush cut. A heavy-handed indica, Westside OG descends from the famous Chemdawg and a backcrossed Humboldt. Westside OG�s fluffy, purple-hued buds release a musky diesel aroma reminiscent of the long line of OG strains. This indica is typically chosen by patients for treatment of pain and by those in need of some serious relaxation.",17,139,Flower
White Sangria,"White Sangria is the functional indica-dominant hybrid cross of Tahoe Hydro OG and Gelato 45. This strain�s buds are bright green with facets of purple throughout and emanate an aroma of pine, citrus, and sweetness. The buzz is happy and uplifting while leaving the body cozy and collected. Its effects are perfect for patients seeking relief from depression, anxiety, and minor physical discomfort. However, with continued use, this strain can take on a semi-sedative quality and lead to more pervasive relaxation.",45,140,Flower
Yoda OG,"Yoda OG, a descendant of the legendary OG Kush, is an indica-dominant strain that induces heavy relaxation of the mind and body. This strain boasts its OG genetics with chunky pale buds, a tangle of orange hairs, and a pungent citrus aroma. Its sedating, euphoric effects make it a popular medicine for anxiety and insomnia, and it also provides an extra kick to the appetite. Seasoned consumers may be able to withstand its heaviness during the day, but Yoda OG is most popularly chosen for nighttime consumption.",10,141,Flower
Strawberry Cough Baker's Batch,"Known for its sweet smell of fresh strawberries and an expanding sensation that can make even the most seasoned consumer cough, Strawberry Cough is a potent sativa blend with mysterious genetic origins. The skunky, berry flavors will capture your senses while the cerebral,uplifting effects provide an aura of euphoria that is sure to leave a smile on your face. Strawberry Cough is a great solution for managing social anxieties and to balance yourself in times of elevated stress.",100,142,Flower
Travel Joint Baker's Batch,Alien Stardawg x Monster Cookies this well-balanced hybrid has a minty kush aroma and flavor that lingers on your taste buds. High levels of THC give this strain a powerful long lasting effect.,100,143,Flower
VCM #2 Baker's Batch,"A cross between Grateful Breath and Glue on Fire, this hybrid strain boasts a glue/chem taste and effect.",100,144,Flower